air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,garden,house_id,house_type,m2_real,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,city,apartment,house,lux_property,rural_property
0,0,2,0,0,0,39820139,apartment,161,135000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,40257832,apartment,165,85000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,1,0,0,37419632,apartment,175,150000,0,5,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,81153628,house,394,60000,0,4,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,38583788,apartment,131,125000,0,3,0,0,0,alicante,1,0,0,0
1,0,1,0,0,0,36248007,apartment,120,80000,0,3,1,0,0,alicante,1,0,0,0
0,0,2,0,0,0,36946285,apartment,143,95000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778781,apartment,163,69000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84778803,apartment,90,65000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778799,apartment,191,130000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778805,apartment,269,150000,0,4,0,0,0,alicante,1,0,0,0
1,0,1,0,0,0,84778793,apartment,117,63000,0,3,0,0,0,alicante,1,0,0,0
1,0,2,1,0,0,84778801,apartment,113,89000,0,2,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778769,apartment,139,89600,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778780,apartment,117,70000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84778743,apartment,100,42000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84778745,apartment,105,60000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778751,apartment,120,78000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778756,rural_property,158,85000,0,3,0,0,0,alicante,0,0,0,1
0,0,2,0,0,0,84778727,apartment,112,68000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84778730,apartment,108,59000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84778737,house,2559,80000,0,3,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,84778690,house,13663,138000,0,4,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,84778732,house,288,150000,0,4,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,81340026,apartment,102,45000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,40505402,apartment,146,100000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,81354361,apartment,82,46000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,40539709,rural_property,288,75000,0,4,0,0,0,alicante,0,0,0,1
0,0,2,0,0,0,40193094,apartment,128,110000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,1,0,0,39285593,apartment,140,59000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,38778654,apartment,90,60000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,38286989,apartment,134,65000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,38139656,apartment,133,41000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,37901487,apartment,157,65000,0,4,0,0,0,alicante,1,0,0,0
1,1,2,0,0,1,36623239,house,4500,160000,0,6,1,1,1,alicante,0,1,0,0
0,0,1,0,0,0,40568039,apartment,90,23000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,81476364,apartment,72,30900,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,81476907,apartment,99,39900,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,81476995,apartment,65,30900,0,2,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,81475853,apartment,104,45000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,81870807,apartment,100,40000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,81870910,apartment,107,21500,0,2,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,81883621,house,62,34700,0,4,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,82482101,apartment,82,52000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,82509470,apartment,90,100000,0,3,1,0,0,alicante,1,0,0,0
0,0,1,0,0,0,38625644,house,121,15073,0,4,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,36529855,apartment,110,32781,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84788549,house,120,117700,0,4,0,0,0,alicante,0,1,0,0
0,1,2,1,0,0,84803748,apartment,106,89000,0,3,1,0,0,alicante,1,0,0,0
0,0,1,1,0,0,84669497,apartment,100,36000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84903904,apartment,125,95000,0,3,1,0,0,alicante,1,0,0,0
0,0,3,1,0,0,1656568,apartment,166,168000,0,5,1,0,1,alicante,1,0,0,0
0,0,1,1,0,0,1673925,apartment,89,50000,0,3,0,0,1,alicante,1,0,0,0
0,0,2,0,0,0,367902,house,280,50000,0,6,0,0,0,alicante,0,1,0,0
