air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,garden,house_id,house_type,m2_real,reduced_mobility,room_num,storage_room,swimming_pool,terrace,city,apartment,house,lux_property,rural_property
1,0,1,1,0,1,84870933,apartment,84,0,2,1,0,0,madrid,1,0,0,0
1,0,3,1,0,1,84754295,house,150,0,4,1,0,1,sevilla,0,1,0,0
1,0,2,1,0,0,83961876,house,151,0,4,1,0,1,alicante,0,1,0,0
0,0,1,0,0,0,84927851,apartment,74,0,3,0,0,0,girona,1,0,0,0
1,0,1,0,0,0,83935709,apartment,105,0,3,0,0,1,alicante,1,0,0,0
1,1,2,1,0,1,83888493,apartment,85,0,2,1,1,0,valencia,1,0,0,0
1,0,1,0,0,0,84945518,apartment,69,0,3,0,0,0,madrid,1,0,0,0
0,0,3,0,0,0,84795803,house,602,0,4,0,0,1,alicante,0,1,0,0
0,0,2,1,0,0,84611060,house,125,0,3,0,0,0,sevilla,0,1,0,0
0,0,4,0,0,1,81599291,house,1010,0,3,0,0,0,girona,0,1,0,0
0,0,1,0,0,0,82457798,apartment,50,0,2,0,0,0,girona,1,0,0,0
0,0,2,0,0,0,31945423,apartment,169,0,4,0,0,1,girona,1,0,0,0
0,0,2,0,0,1,35198951,house,94,0,3,0,1,1,sevilla,0,1,0,0
0,0,2,0,0,0,33956152,house,94,0,3,0,0,0,sevilla,0,1,0,0
0,0,1,0,0,0,38255832,rural_property,6632,0,2,0,0,0,alicante,0,0,0,1
0,0,1,0,0,0,84918639,apartment,63,0,2,0,1,1,girona,1,0,0,0
0,0,2,0,0,0,31172031,apartment,111,0,3,0,0,0,valencia,1,0,0,0
1,0,1,1,0,0,84615122,apartment,53,0,2,0,0,0,madrid,1,0,0,0
0,0,1,0,0,0,82882914,house,76,0,2,0,0,1,girona,0,1,0,0
0,0,1,0,0,0,84315633,apartment,88,0,3,0,0,1,alicante,1,0,0,0
1,0,2,1,0,0,27880710,apartment,114,0,3,0,0,0,alicante,1,0,0,0
0,0,2,1,0,0,81438344,apartment,128,1,3,0,0,1,valencia,1,0,0,0
1,0,1,1,0,0,84831316,apartment,80,0,3,0,0,0,valencia,1,0,0,0
1,0,2,1,0,1,32035897,house,80,0,2,0,1,1,sevilla,0,1,0,0
0,0,4,0,1,1,81974223,lux_property,11000,0,6,1,1,1,alicante,0,0,1,0
1,0,3,0,0,1,82660842,house,290,0,5,1,1,0,sevilla,0,1,0,0
0,0,1,0,0,0,82974684,apartment,62,0,3,0,0,1,madrid,1,0,0,0
0,0,2,0,0,0,1187974,apartment,129,0,4,0,0,1,girona,1,0,0,0
0,0,2,1,0,1,35341649,house,570,0,6,1,1,1,girona,0,1,0,0
1,0,1,1,0,1,1739135,apartment,87,0,3,1,0,1,madrid,1,0,0,0
0,0,2,1,0,1,82680513,apartment,105,0,3,0,0,1,madrid,1,0,0,0
0,0,2,0,0,0,82157537,house,151,0,4,0,0,0,sevilla,0,1,0,0
0,0,2,0,0,1,84707913,house,1200,0,3,1,1,1,sevilla,0,1,0,0
0,0,1,1,0,0,38788048,apartment,40,0,2,0,0,0,girona,1,0,0,0
0,0,1,0,0,0,81692724,apartment,120,0,2,0,0,1,alicante,1,0,0,0
0,0,2,0,0,0,39875260,house,185,0,4,0,0,0,girona,0,1,0,0
1,0,4,1,0,1,82589012,house,1397,0,4,1,1,1,sevilla,0,1,0,0
0,0,1,0,0,1,83091928,apartment,71,0,1,0,0,1,madrid,1,0,0,0
1,0,1,1,0,1,85017209,apartment,62,1,1,0,0,0,sevilla,1,0,0,0
0,1,1,0,0,0,84465487,apartment,75,0,2,0,0,0,valencia,1,0,0,0
0,0,1,0,0,0,35545237,apartment,55,0,2,0,0,0,girona,1,0,0,0
0,0,3,0,0,0,84984987,house,500,0,4,0,0,0,sevilla,0,1,0,0
1,0,2,1,0,0,38518933,apartment,48,0,2,0,1,0,girona,1,0,0,0
1,1,3,1,0,1,84426134,house,220,0,5,1,1,1,sevilla,0,1,0,0
0,0,1,0,0,0,38720802,apartment,110,0,3,0,0,0,alicante,1,0,0,0
0,0,1,1,0,0,84491265,apartment,89,0,3,0,0,1,madrid,1,0,0,0
0,0,1,1,0,0,83705343,apartment,59,0,1,1,0,0,madrid,1,0,0,0
0,0,2,0,0,0,81331088,apartment,154,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,83179956,apartment,98,0,3,0,0,0,alicante,1,0,0,0
0,0,3,0,0,1,81294029,house,226,0,4,0,1,1,sevilla,0,1,0,0
1,0,2,0,0,0,83845947,house,95,0,3,0,0,1,sevilla,0,1,0,0
0,0,2,1,0,0,39732978,apartment,65,0,2,1,0,1,madrid,1,0,0,0
0,1,1,0,0,0,82600849,apartment,105,0,3,1,0,1,alicante,1,0,0,0
0,0,2,0,0,0,37142175,house,943,0,3,0,0,0,alicante,0,1,0,0
